"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB|ENST00000261880.10|13",548.31324983822,-3.29342569508498,0.150276307191935,-21.9158013437112,1.83634106921965e-106,3.81271507959297e-105
"AAGAB|ENST00000261880.10|14",1951.26088974148,-3.60753110697997,0.108168175102352,-33.3511321936088,7.01445690631272e-244,1.23578226084745e-241
"ABCA7|ENST00000263094.11|1",1939.94638196865,1.20454656690871,0.103038029144538,11.6903106252063,1.42863141955215e-31,5.30862419548225e-31
"ABCC6|ENST00000205557.12|1",8709.54337280827,1.71515914642385,0.11537565222986,14.8658673929469,5.48992114065704e-50,3.50769361413713e-49
"ABCC9|ENST00000261200.9|1",1237.81216453121,-1.11995707544184,0.0951931839237583,-11.7650973449825,5.90581877756354e-32,2.2221014119099e-31
"ABCC9|ENST00000261200.9|3",656.079915588364,-1.96164877712864,0.121092179315879,-16.1996322818793,5.0729506243149e-59,4.05971599728073e-58
"ABCC9|ENST00000261200.9|8",498.353092663962,-3.43687159602434,0.160162427817422,-21.4586632012236,3.79045661266873e-102,7.1737235734236e-101
"ABCC9|ENST00000261200.9|9",524.586090688139,-3.03403426410407,0.171750952378353,-17.6653126057802,7.75818369212584e-70,7.94384962663825e-69
"ABCC9|ENST00000261200.9|10",2026.38854327726,-1.97627706578384,0.111620178100596,-17.7053745963632,3.81136415353396e-70,3.93282881648035e-69
"ABCC9|ENST00000261200.9|11",196.813280280149,-1.24232196604264,0.214737665152334,-5.78530070708065,7.23827292540826e-09,1.22564677945429e-08
"ABCC9|ENST00000261200.9|13",2469.82504119049,-1.88934463879415,0.161291512734489,-11.713850324563,1.08249683630863e-31,4.04123156714782e-31
"ABCC9|ENST00000261200.9|14",199.815699265972,-1.46409203304738,0.32316258229223,-4.53051223524211,5.88408467661943e-06,8.73173967866973e-06
"ABCC9|ENST00000261200.9|16",976.420947449426,-3.3572585539547,0.143032316481108,-23.4720281160944,7.87679978779975e-122,2.06485911286304e-120
"ABCC9|ENST00000261200.9|17",1472.3615930702,-2.32688547893886,0.103227870572566,-22.5412523384673,1.63624667647529e-112,3.74088457713243e-111
"ABCC9|ENST00000261200.9|20",771.818887804327,-1.02898218760147,0.12035105952135,-8.54983904332748,1.23260279608229e-17,2.90737970015078e-17
"ABCC9|ENST00000261200.9|22",1160.1086925616,-1.79149283685152,0.120280072085659,-14.8943445558936,3.58684800103824e-50,2.30034470302131e-49
"ABCC9|ENST00000261200.9|24",974.642390379577,-1.88528062082402,0.111414476439539,-16.9213254962168,3.13299418681084e-64,2.78230321408406e-63
"ABCC9|ENST00000261200.9|26",1405.345449414,-3.94257462255248,0.133196022896652,-29.599792372266,1.5034865734927e-192,1.0982786067343e-190
"ABCC9|ENST00000261200.9|27",1909.20419037927,-4.18170392582015,0.111190218791762,-37.6085591993636,0,0
"ABCD1|ENST00000218104.6|1",2442.77004309286,1.21220994882337,0.0826152192855388,14.6729617049574,9.60589634113346e-49,5.93494781674981e-48
"ABCD1|ENST00000218104.6|2",2043.22965292078,1.20302255855308,0.110070150792274,10.9295985323346,8.32157658291483e-28,2.73805238844602e-27
"ABCD1|ENST00000218104.6|5",3621.58557540919,1.46144440946901,0.122560664285127,11.9242533319588,8.84736920504223e-33,3.41797752584347e-32
"ABCD1|ENST00000218104.6|6",3928.11496820182,2.03322488837751,0.111893169862516,18.1711260023802,8.73864912126475e-74,9.66657585159296e-73
"ABCD1|ENST00000218104.6|6|mutated",6738.63651669727,2.12258697873055,0.122890977120223,17.2721141004033,7.62955429018735e-67,7.24263553062159e-66
"ABCD1|ENST00000218104.6|7",5148.89038436202,1.07490938852724,0.10374432453511,10.3611392077979,3.72498736977686e-25,1.12604967675818e-24
"ABCD1|ENST00000218104.6|7|mutated",4491.93733663052,1.12586041166928,0.115166302261559,9.7759534652098,1.42806290459011e-22,3.96298207018519e-22
"ACSL4|ENST00000672401.1|3",388.849322143389,-2.7321992262739,0.192477576966046,-14.1948962021476,9.85322262542984e-46,5.59173884664375e-45
"ACSL4|ENST00000672401.1|3|mutated",755.223921982436,-2.62097929029337,0.130586550129714,-20.0708211350243,1.32792445501905e-89,2.02398663754811e-88
"ACSL4|ENST00000672401.1|4",12.4777574647136,-1.93043611843984,0.774175750633232,-2.49353730966237,0.0126477291420548,0.0154880706451821
"ACSL4|ENST00000672401.1|8",1596.39382678696,-2.00123227853742,0.111070993008598,-18.0175959927045,1.41771554386e-72,1.53425765270486e-71
"ACSL4|ENST00000672401.1|11",442.932952297928,-1.53567054663142,0.144144814179866,-10.6536648950491,1.67632660605572e-26,5.30578407940488e-26
"ACSL4|ENST00000672401.1|13",6241.08814973867,1.14081032924514,0.0865733437483256,13.1773855537052,1.18424073302867e-39,5.65452530158768e-39
"ACSL4|ENST00000672401.1|15",2206.69367525215,-1.58198166761395,0.114886862123425,-13.7699092687761,3.86698490025703e-43,2.03543405558344e-42
"ACSL4|ENST00000672401.1|16",805.856975148084,-1.94265031249086,0.13167064573078,-14.7538602982391,2.9055834644191e-49,1.82340963351183e-48
"ACSL4|ENST00000672401.1|17",887.545392671664,-1.95004444931332,0.114287414032425,-17.0626351626092,2.81562287967066e-65,2.56705952043033e-64
"ACSL4|ENST00000672401.1|18",509.919601181226,1.05765422159594,0.209004466425935,5.0604383709223,4.18293649151784e-07,6.55739062658777e-07
"ACTB|ENST00000646664.1|4",1510.93096394469,-1.0127204418216,0.0957678119196061,-10.5747476268095,3.90226683050717e-26,1.21933115882827e-25
"ACTN2|ENST00000366578.6|1",1663.61503589532,-1.43659086190066,0.108576026772138,-13.2311975728819,5.7956489374191e-40,2.79403920604752e-39
"ACTN2|ENST00000366578.6|2",545.293127227152,-1.38954509128183,0.132579205024561,-10.4808675766641,1.05768962434122e-25,3.26238972698451e-25
"ACTN2|ENST00000366578.6|3",1105.70830487323,-1.40187350064785,0.111591084101575,-12.5625941528787,3.39031683589415e-36,1.46100703935294e-35
"ACTN2|ENST00000366578.6|8",8898.63188662197,1.48127656080973,0.0858012881039213,17.2640363978642,8.77564700783757e-67,8.29773095137286e-66
"ACTN2|ENST00000366578.6|14",396.424274154633,-2.55293478966586,0.173795772300527,-14.6892801583881,7.55116971270705e-49,4.68963261577141e-48
"ACVRL1|ENST00000388922.9|1",2746.64744123482,1.29464691864753,0.134672684493285,9.61328515517996,7.02704597499384e-22,1.91110126629799e-21
"ACVRL1|ENST00000388922.9|11",4299.73438138306,1.01323993080261,0.0785338566463962,12.9019504971568,4.3884697287476e-38,1.99824657356124e-37
"ACVRL1|ENST00000388922.9|12",5038.92300241021,1.38276639086101,0.10159149318877,13.6110450536607,3.44285268405487e-42,1.75437580412494e-41
"ACVRL1|ENST00000388922.9|13",2131.19958703235,1.54463457185381,0.1158048950181,13.3382494031222,1.38677931441012e-40,6.79493504565777e-40
"ACVRL1|ENST00000388922.9|14",3902.04223163053,1.21077238861271,0.124536199925094,9.72225256062864,2.42359657507989e-22,6.68847891487148e-22
"ACVRL1|ENST00000388922.9|14|mutated",6181.7031535013,1.22370295655773,0.117562293043987,10.4089748921439,2.25638200684078e-25,6.89402102574664e-25
"ADAR|ENST00000368474.9|5",7077.59644932403,1.1702314883196,0.0925900579099356,12.6388460568619,1.28932264542146e-36,5.62903982950042e-36
"ADAR|ENST00000368474.9|6",7492.76935775562,1.0185540627219,0.077365354868812,13.1655062456452,1.38605459440041e-39,6.60235945960911e-39
"ADAR|ENST00000368474.9|14",4019.17744013121,1.07594133761809,0.0903274406592766,11.9115667372514,1.03023070479779e-32,3.97109518773409e-32
"ADAR|ENST00000368474.9|15",10621.8417374421,1.10977494202137,0.0887706588307613,12.5015963229148,7.31671336819175e-36,3.1094085190116e-35
"ADAR|ENST00000368474.9|20",941.861781906303,-1.60663447703662,0.111749671584221,-14.3770845521078,7.20670301638419e-47,4.24257012954705e-46
"ADNP|ENST00000621696.5|1",2282.72936678541,1.16270231113268,0.0913781815953818,12.7240692562812,4.34622852966584e-37,1.92345097101576e-36
"ADNP|ENST00000621696.5|4",3043.91506622382,-1.10052199408648,0.0837744428387093,-13.1367271066823,2.02810699458507e-39,9.58072625990895e-39
"ADNP|ENST00000621696.5|5",1681.20227534124,-1.18386484028987,0.100549242300882,-11.7739807202852,5.31557193148982e-32,2.00253307356126e-31
