"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB|ENST00000261880.10|8",11849.8012369669,2.32185688985264,0.169418244138961,13.704881086763,9.49226944215249e-43,8.62586578973144e-42
"AAGAB|ENST00000261880.10|9",2784.43522769997,-1.76821929904988,0.149901957876049,-11.7958385874586,4.10095012501801e-32,2.566200608534e-31
"AAGAB|ENST00000261880.10|13",218.520587484511,-3.07823468649527,0.281866402960422,-10.9208995969892,9.1584154114191e-28,4.88163513051031e-27
"AAGAB|ENST00000261880.10|14",1181.49622195086,-3.86379541674747,0.172090726108474,-22.4520838752926,1.22111131693474e-111,9.9491498251207e-110
"ABCA4|ENST00000370225.4|2",1047.98889793973,-1.30171606907972,0.147747389537008,-8.81041670623673,1.24681503318501e-18,4.59338777374865e-18
"ABCC6|ENST00000205557.12|1",17457.5973118125,1.84455183693133,0.390480729846035,4.72379735014998,2.31481089344853e-06,4.32992192266642e-06
"ABCC6|ENST00000205557.12|3",1075.57623903652,-1.32979600916244,0.149241164960651,-8.91038346901848,5.08563573305957e-19,1.90524426571331e-18
"ABCC6|ENST00000205557.12|4",2925.90475361801,-1.33355494240335,0.165980164678903,-8.03442354080791,9.40198875780604e-16,3.04427194788437e-15
"ABCC9|ENST00000261200.9|1",698.398431282984,-1.09410686172463,0.163934959108181,-6.6740301621854,2.48872432318804e-11,6.42678982725813e-11
"ABCC9|ENST00000261200.9|4",207.386654324022,-1.69440202726789,0.250875285581653,-6.75396152849185,1.43861911621132e-11,3.7653717558704e-11
"ABCC9|ENST00000261200.9|8",239.528911691423,-3.09485241221262,0.285561024792884,-10.8377969803733,2.27892776429316e-27,1.19556363701004e-26
"ABCC9|ENST00000261200.9|9",334.103198167986,-3.70511412878218,0.269169076054489,-13.7650066757005,4.13846021553325e-43,3.82751644798778e-42
"ABCC9|ENST00000261200.9|10",948.700284608153,-2.41766269329982,0.157849068874302,-15.316293662936,5.95158343727661e-53,7.64829558243154e-52
"ABCC9|ENST00000261200.9|11",104.681314694842,-1.2505687288718,0.27119215789943,-4.61137496953567,4.00014228252508e-06,7.33236977621715e-06
"ABCC9|ENST00000261200.9|13",396.746172148319,-2.34261722367912,0.276473360511839,-8.47321137682924,2.38718839684089e-17,8.34784100115719e-17
"ABCC9|ENST00000261200.9|14",62.5707394500402,-3.32451663719004,0.59359399062287,-5.60065750278495,2.13540282122396e-08,4.62406790630977e-08
"ABCC9|ENST00000261200.9|15",5467.01257552475,1.41096030316339,0.170194795204102,8.29026705235802,1.12994483939556e-16,3.8567538733088e-16
"ABCC9|ENST00000261200.9|16",852.895328497,-3.49339342603957,0.176328850154023,-19.8118085780523,2.35472117851207e-87,8.92484036551871e-86
"ABCC9|ENST00000261200.9|17",1295.19846075835,-3.10779059441174,0.165039505188734,-18.8305859912618,4.2404254475358e-79,1.24175001430651e-77
"ABCC9|ENST00000261200.9|18",1390.68853121858,1.297034770488,0.150849908305776,8.5981807019656,8.09897068451232e-18,2.89038652825996e-17
"ABCC9|ENST00000261200.9|20",484.015285994835,-1.41246136380758,0.161601557680687,-8.74039448678151,2.32297845081404e-18,8.47982715800054e-18
"ABCC9|ENST00000261200.9|22",541.615573359124,-2.04794913690414,0.182083102398888,-11.2473321792251,2.38703086107703e-29,1.35816953078953e-28
"ABCC9|ENST00000261200.9|24",342.530446223887,-2.07657661062806,0.243528644041288,-8.52703228732303,1.50149971028451e-17,5.28925353825811e-17
"ABCC9|ENST00000261200.9|26",667.031812517426,-3.57676366368347,0.27362375339815,-13.0718317370602,4.7702850880199e-39,3.8473875083646e-38
"ABCC9|ENST00000261200.9|27",777.35547299891,-3.75066650578851,0.244960153640852,-15.3113330884318,6.42337604322965e-53,8.236913797619e-52
"ABCD1|ENST00000218104.6|1",4567.22081005218,1.87852759413177,0.268368590215811,6.99980423424788,2.56320407025869e-12,6.98668528663821e-12
"ABCD1|ENST00000218104.6|3",6533.28269106126,1.25211896154012,0.295099847750324,4.24303492897599,2.20517097218289e-05,3.79909849451014e-05
"ABCD1|ENST00000218104.6|5",7455.87882135136,1.85477267485538,0.355617740306685,5.21563596140007,1.8318763391793e-07,3.72439024178415e-07
