Name,miRNA
AAGAB|ENST00000261880.10|13,AAGAB:miR-23-3p
AAGAB|ENST00000261880.10|14,AAGAB:miR-23-3p
AAGAB|ENST00000261880.10|2,AAGAB:miR-377-3p
AAGAB|ENST00000261880.10|3,AAGAB:miR-377-3p
AAGAB|ENST00000261880.10|6,AAGAB:miR-34-5p/449-5p
AAGAB|ENST00000261880.10|7,AAGAB:miR-34-5p/449-5p
ABCC9|ENST00000261200.9|1,ABCC9:miR-217
ABCC9|ENST00000261200.9|1,ABCC9:miR-655-3p
ABCC9|ENST00000261200.9|21,ABCC9:miR-30-5p
ABCC9|ENST00000261200.9|22,ABCC9:miR-30-5p
ABCC9|ENST00000261200.9|23,ABCC9:miR-137
ABCC9|ENST00000261200.9|26,ABCC9:miR-133a-3p.1
ABCC9|ENST00000261200.9|2,ABCC9:miR-200bc-3p/429
ABCC9|ENST00000261200.9|2,ABCC9:miR-655-3p
ABCC9|ENST00000261200.9|3,ABCC9:miR-200bc-3p/429
ABCD1|ENST00000218104.6|1,ABCD1:miR-205-5p
ABCD1|ENST00000218104.6|5,ABCD1:miR-34-5p/449-5p
ABCD1|ENST00000218104.6|5,ABCD1:miR-96-5p/1271-5p
ABCD1|ENST00000218104.6|6,ABCD1:miR-124-3p.1
ABCD1|ENST00000218104.6|6,ABCD1:miR-182-5p
ABCD1|ENST00000218104.6|6,ABCD1:miR-183-5p.2
ABCD1|ENST00000218104.6|6,ABCD1:miR-34-5p/449-5p
ABCD1|ENST00000218104.6|6,ABCD1:miR-9-5p
ABCD1|ENST00000218104.6|6,ABCD1:miR-96-5p/1271-5p
ABCD1|ENST00000218104.6|6,ABCD1:miR-96-5p/1271-5p
ABCD1|ENST00000218104.6|7,ABCD1:miR-124-3p.1
ABCD1|ENST00000218104.6|7,ABCD1:miR-182-5p
ABCD1|ENST00000218104.6|7,ABCD1:miR-183-5p.2
ABCD1|ENST00000218104.6|7,ABCD1:miR-34-5p/449-5p
ABCD1|ENST00000218104.6|7,ABCD1:miR-9-5p
ABCD1|ENST00000218104.6|7,ABCD1:miR-96-5p/1271-5p
ACSL4|ENST00000672401.1|10,ACSL4:miR-101-3p.2
ACSL4|ENST00000672401.1|10,ACSL4:miR-130-3p/301-3p/454-3p
ACSL4|ENST00000672401.1|10,ACSL4:miR-144-3p
ACSL4|ENST00000672401.1|10,ACSL4:miR-17-5p/20-5p/93-5p/106-5p/519-3p
ACSL4|ENST00000672401.1|10,ACSL4:miR-19-3p
ACSL4|ENST00000672401.1|11,ACSL4:miR-101-3p.2
ACSL4|ENST00000672401.1|11,ACSL4:miR-130-3p/301-3p/454-3p
ACSL4|ENST00000672401.1|11,ACSL4:miR-144-3p
ACSL4|ENST00000672401.1|11,ACSL4:miR-17-5p/20-5p/93-5p/106-5p/519-3p
ACSL4|ENST00000672401.1|11,ACSL4:miR-19-3p
ACSL4|ENST00000672401.1|14,ACSL4:miR-133a-3p.1
ACSL4|ENST00000672401.1|14,ACSL4:miR-15-5p/16-5p/195-5p/424-5p/497-5p
ACSL4|ENST00000672401.1|14,ACSL4:miR-34-5p/449-5p
ACSL4|ENST00000672401.1|15,ACSL4:miR-133a-3p.1
ACSL4|ENST00000672401.1|15,ACSL4:miR-15-5p/16-5p/195-5p/424-5p/497-5p
ACSL4|ENST00000672401.1|15,ACSL4:miR-34-5p/449-5p
ACSL4|ENST00000672401.1|8,ACSL4:miR-145-5p
ACSL4|ENST00000672401.1|8,ACSL4:miR-204-5p/211-5p
ACSL4|ENST00000672401.1|9,ACSL4:miR-145-5p
ACSL4|ENST00000672401.1|9,ACSL4:miR-204-5p/211-5p
ACTB|ENST00000646664.1|1,ACTB:miR-1-3p/206
ACTB|ENST00000646664.1|1,ACTB:miR-145-5p
ACTB|ENST00000646664.1|2,ACTB:miR-1-3p/206
ACTB|ENST00000646664.1|2,ACTB:miR-145-5p
ACTB|ENST00000646664.1|3,ACTB:miR-124-3p.2/506-3p
ACTB|ENST00000646664.1|3,ACTB:miR-205-5p
ACTB|ENST00000646664.1|4,ACTB:miR-124-3p.2/506-3p
ACTB|ENST00000646664.1|4,ACTB:miR-205-5p
ACTN2|ENST00000366578.6|10,ACTN2:miR-505-3p.1
ACTN2|ENST00000366578.6|12,ACTN2:miR-29-3p
ACTN2|ENST00000366578.6|13,ACTN2:miR-29-3p
ACTN2|ENST00000366578.6|1,ACTN2:miR-137
ACTN2|ENST00000366578.6|2,ACTN2:miR-23-3p
ACTN2|ENST00000366578.6|3,ACTN2:miR-23-3p
ACTN2|ENST00000366578.6|3,ACTN2:miR-9-5p
ACTN2|ENST00000366578.6|4,ACTN2:miR-9-5p
ACTN2|ENST00000366578.6|9,ACTN2:miR-505-3p.1
ACVRL1|ENST00000388922.9|14,ACVRL1:miR-17-5p/20-5p/93-5p/106-5p/519-3p
ACVRL1|ENST00000388922.9|15,ACVRL1:miR-17-5p/20-5p/93-5p/106-5p/519-3p
ACVRL1|ENST00000388922.9|16,ACVRL1:miR-3064-5p
ACVRL1|ENST00000388922.9|17,ACVRL1:miR-3064-5p
ACVRL1|ENST00000388922.9|17,ACVRL1:miR-532-3p
ACVRL1|ENST00000388922.9|18,ACVRL1:miR-532-3p
ACVRL1|ENST00000388922.9|1,ACVRL1:miR-22-3p
ACVRL1|ENST00000388922.9|1,ACVRL1:miR-491-5p
ACVRL1|ENST00000388922.9|2,ACVRL1:miR-17-5p/20-5p/93-5p/106-5p/519-3p
ACVRL1|ENST00000388922.9|2,ACVRL1:miR-34-5p/449-5p
ACVRL1|ENST00000388922.9|2,ACVRL1:miR-491-5p
ACVRL1|ENST00000388922.9|2,ACVRL1:miR-760
ACVRL1|ENST00000388922.9|3,ACVRL1:miR-17-5p/20-5p/93-5p/106-5p/519-3p
ACVRL1|ENST00000388922.9|3,ACVRL1:miR-34-5p/449-5p
ACVRL1|ENST00000388922.9|3,ACVRL1:miR-504-5p.1
ACVRL1|ENST00000388922.9|3,ACVRL1:miR-760
ADAR|ENST00000368474.9|15,ADAR:miR-365-3p
ADAR|ENST00000368474.9|16,ADAR:miR-365-3p
ADAR|ENST00000368474.9|20,ADAR:miR-1-3p/206
ADAR|ENST00000368474.9|4,ADAR:miR-17-5p/20-5p/93-5p/106-5p/519-3p
ADNP|ENST00000621696.5|17,ADNP:miR-135-5p
ADNP|ENST00000621696.5|17,ADNP:miR-145-5p
ADNP|ENST00000621696.5|18,ADNP:miR-135-5p
ADNP|ENST00000621696.5|18,ADNP:miR-145-5p
ADNP|ENST00000621696.5|1,ADNP:miR-21-5p/590-5p
ADNP|ENST00000621696.5|1,ADNP:miR-23-3p
ADNP|ENST00000621696.5|1,ADNP:miR-455-3p.2
ADNP|ENST00000621696.5|2,ADNP:miR-21-5p/590-5p
ADNP|ENST00000621696.5|2,ADNP:miR-23-3p
ADNP|ENST00000621696.5|2,ADNP:miR-328-3p
ADNP|ENST00000621696.5|3,ADNP:miR-328-3p
ADNP|ENST00000621696.5|4,ADNP:miR-154-5p
ADNP|ENST00000621696.5|4,ADNP:miR-19-3p
ADNP|ENST00000621696.5|4,ADNP:miR-28-3p
ADNP|ENST00000621696.5|4,ADNP:miR-455-5p
ADNP|ENST00000621696.5|4,ADNP:miR-493-5p
ADNP|ENST00000621696.5|5,ADNP:miR-154-5p
