Name	size	covered	sum	mean0	mean	min	max
ABCA4|ENST00000370225.4|1	270	270	253.776	0.939911	0.939911	-2.328	5.997
ABCA4|ENST00000370225.4|2	270	270	259.782	0.962156	0.962156	-2.545	5.997
ACTN2|ENST00000366578.6|1	270	270	0.229	0.00084815	0.00084815	-3.545	2.656
ACTN2|ENST00000366578.6|2	270	270	-53.427	-0.197878	-0.197878	-3.237	2.614
ACTN2|ENST00000366578.6|3	270	270	-28.988	-0.107363	-0.107363	-4.239	2.639
ACTN2|ENST00000366578.6|4	270	270	-7.778	-0.0288074	-0.0288074	-4.239	2.639
ACTN2|ENST00000366578.6|5	270	270	16.181	0.0599296	0.0599296	-3.038	0.963
ACTN2|ENST00000366578.6|6	270	270	22.506	0.0833556	0.0833556	-1.907	1.426
ACTN2|ENST00000366578.6|7	270	270	14.601	0.0540778	0.0540778	-2.277	1.647
ACTN2|ENST00000366578.6|8	270	270	9.976	0.0369481	0.0369481	-2.277	1.647
ACTN2|ENST00000366578.6|9	270	270	12.056	0.0446518	0.0446518	-2.091	0.452
ACTN2|ENST00000366578.6|10	270	270	8.825	0.0326852	0.0326852	-2.457	0.452
ACTN2|ENST00000366578.6|11	270	270	7.362	0.0272667	0.0272667	-2.457	0.452
ACTN2|ENST00000366578.6|12	270	270	19.838	0.0734741	0.0734741	-2.401	0.452
ACTN2|ENST00000366578.6|13	270	270	24.13	0.0893704	0.0893704	-2.044	0.592
ACTN2|ENST00000366578.6|14	270	270	14.459	0.0535519	0.0535519	-3.352	0.592
ADAR|ENST00000368474.9|1	270	270	2.467	0.00913704	0.00913704	-5.723	2.626
ADAR|ENST00000368474.9|2	270	270	13.688	0.0506963	0.0506963	-5.723	3.758
ADAR|ENST00000368474.9|3	270	270	34.293	0.127011	0.127011	-3.874	3.829
ADAR|ENST00000368474.9|4	270	270	142.585	0.528093	0.528093	-3.874	4.148
ADAR|ENST00000368474.9|7	270	270	-49.758	-0.184289	-0.184289	-3.075	3.271
ADAR|ENST00000368474.9|8	270	270	-27.553	-0.102048	-0.102048	-3.075	4.673
ADAR|ENST00000368474.9|9	270	270	199.26	0.738	0.738	-2.342	9.535
ADAR|ENST00000368474.9|10	270	270	530.069	1.96322	1.96322	-4.971	9.535
ADAR|ENST00000368474.9|11	270	270	337.841	1.25126	1.25126	-4.971	9.53
ADAR|ENST00000368474.9|12	270	270	21.57	0.0798889	0.0798889	-5.499	9.649
ADAR|ENST00000368474.9|13	270	270	572.604	2.12076	2.12076	-5.499	9.763
ADAR|ENST00000368474.9|14	270	270	501.836	1.85865	1.85865	-3.511	9.763
ADAR|ENST00000368474.9|15	270	270	-58.618	-0.217104	-0.217104	-4.728	2.146
ADAR|ENST00000368474.9|16	270	270	-28.921	-0.107115	-0.107115	-4.728	3.217
ADAR|ENST00000368474.9|17	270	270	-3.287	-0.0121741	-0.0121741	-2.944	3.217
ADAR|ENST00000368474.9|18	270	270	223.453	0.827604	0.827604	-3.613	6.564
ADAR|ENST00000368474.9|19	270	270	187.382	0.694007	0.694007	-3.693	6.564
ADAR|ENST00000368474.9|20	270	270	160.06	0.592815	0.592815	-3.693	6.564
AHDC1|ENST00000673934.1|2	270	270	-24.527	-0.0908407	-0.0908407	-3.194	1.583
AHDC1|ENST00000673934.1|3	270	270	-79.822	-0.295637	-0.295637	-3.967	1.583
AHDC1|ENST00000673934.1|4	270	270	-52.696	-0.19517	-0.19517	-3.967	1.583
AHDC1|ENST00000673934.1|5	270	270	-37.223	-0.137863	-0.137863	-3.837	1.583
AKT3|ENST00000673466.1|1	270	270	12.998	0.0481407	0.0481407	-2.484	2.055
AKT3|ENST00000673466.1|2	270	270	23.823	0.0882333	0.0882333	-3.066	2.057
AKT3|ENST00000673466.1|5	270	270	-58.708	-0.217437	-0.217437	-3.778	1.799
AKT3|ENST00000673466.1|6	270	270	-25.335	-0.0938333	-0.0938333	-3.572	2.166
AKT3|ENST00000673466.1|7	270	270	10.1	0.0374074	0.0374074	-3.271	2.166
AKT3|ENST00000673466.1|8	270	270	-2.441	-0.00904074	-0.00904074	-2.761	2.094
AKT3|ENST00000673466.1|9	270	270	-13.663	-0.0506037	-0.0506037	-2.761	2.18
AKT3|ENST00000673466.1|10	270	270	10.513	0.038937	0.038937	-3.477	2.18
AKT3|ENST00000673466.1|11	270	270	26.585	0.098463	0.098463	-3.477	1.842
AKT3|ENST00000673466.1|12	270	270	27.661	0.102448	0.102448	-2.311	0.335
AKT3|ENST00000673466.1|13	270	270	9.188	0.0340296	0.0340296	-2.392	1.029
AKT3|ENST00000673466.1|14	270	270	14.42	0.0534074	0.0534074	-2.392	2.518
AKT3|ENST00000673466.1|15	270	270	33.69	0.124778	0.124778	-2.166	2.518
AKT3|ENST00000673466.1|16	270	270	14.813	0.054863	0.054863	-2.994	2.471
AKT3|ENST00000673466.1|19	270	270	-4.57	-0.0169259	-0.0169259	-4.15	2.443
AKT3|ENST00000673466.1|20	270	270	3.673	0.0136037	0.0136037	-4.15	2.599
AKT3|ENST00000673466.1|21	270	270	0.646	0.00239259	0.00239259	-2.817	2.599
AKT3|ENST00000673466.1|22	270	270	0.0379999	0.00014074	0.00014074	-2.817	2.532
AKT3|ENST00000673466.1|23	270	270	-22.984	-0.0851259	-0.0851259	-2.795	2.532
AKT3|ENST00000673466.1|24	270	270	-46.028	-0.170474	-0.170474	-3.687	2.08
AKT3|ENST00000673466.1|25	270	270	-55.59	-0.205889	-0.205889	-6.874	2.178
AKT3|ENST00000673466.1|26	270	270	3.696	0.0136889	0.0136889	-6.874	4.261
AKT3|ENST00000673466.1|27	270	270	751.124	2.78194	2.78194	-3.992	9.964
AKT3|ENST00000673466.1|28	270	270	772.413	2.86079	2.86079	-3.459	9.964
AKT3|ENST00000673466.1|29	270	270	70.284	0.260311	0.260311	-3.459	9.14
AKT3|ENST00000673466.1|30	270	270	-14.921	-0.055263	-0.055263	-3.293	3.826
AKT3|ENST00000673466.1|31	270	270	-53.313	-0.197456	-0.197456	-3.293	0.881
AKT3|ENST00000673466.1|32	270	270	-38.809	-0.143737	-0.143737	-3.202	2.912
AKT3|ENST00000673466.1|33	270	270	-61.673	-0.228419	-0.228419	-3.278	2.912
AKT3|ENST00000673466.1|34	270	270	-82.19	-0.304407	-0.304407	-3.825	2.264
AKT3|ENST00000673466.1|35	270	270	-4.373	-0.0161963	-0.0161963	-3.825	2.769
AKT3|ENST00000673466.1|36	270	270	40.062	0.148378	0.148378	-2.41	2.769
AKT3|ENST00000673466.1|37	270	270	-50.038	-0.185326	-0.185326	-2.974	2.737
AKT3|ENST00000673466.1|38	270	270	-44.309	-0.164107	-0.164107	-3.188	2.605
AKT3|ENST00000673466.1|39	270	270	9.957	0.0368778	0.0368778	-3.661	2.605
AKT3|ENST00000673466.1|40	270	270	25.986	0.0962444	0.0962444	-4.73	2.628
ATP1A1|ENST00000295598.10|1	270	270	-21.389	-0.0792185	-0.0792185	-4.498	2.552
ATP1A1|ENST00000295598.10|2	270	270	-30.623	-0.113419	-0.113419	-4.498	2.895
ATP1A2|ENST00000361216.8|1	270	270	7.062	0.0261556	0.0261556	-3.62	0.672
ATP1A2|ENST00000361216.8|2	270	270	0.534	0.00197778	0.00197778	-2.551	1.955
ATP1A2|ENST00000361216.8|3	270	270	12.636	0.0468	0.0468	-4.066	2.118
ATP1A2|ENST00000361216.8|4	270	270	1.313	0.00486296	0.00486296	-4.066	2.118
ATP1A2|ENST00000361216.8|5	270	270	-19.724	-0.0730519	-0.0730519	-3.658	0.335
ATP1A2|ENST00000361216.8|6	270	270	-24.285	-0.0899444	-0.0899444	-4.181	1.783
ATP1A2|ENST00000361216.8|7	270	270	-26.357	-0.0976185	-0.0976185	-4.181	2.841
ATP1A2|ENST00000361216.8|8	270	270	-24.618	-0.0911778	-0.0911778	-4.746	3.169
